,year,hiring,separation,opening,H1B_approved,H1B_denied,H1B_total
0,2009,46776,51939,30017,99733,18064,117797
1,2010,49657,48671,35627,83967,7324,91291
2,2011,51663,49614,41162,114790,8559,123349
3,2012,53363,51093,46092,140714,7388,148102
4,2013,54873,52564,48846,130650,9583,140233
5,2014,58946,55931,57277,130529,10634,141163
6,2015,62613,59930,66766,111807,7658,119465
7,2016,63741,61512,70266,105056,11297,116353
8,2017,65590,63500,73422,96111,14515,110626
9,2018,68558,66174,85310,87867,28150,116017
10,2019,69995,68039,85846,132978,35609,168587
11,2020,72590,80898,76272,122894,18261,141155
12,2021,76237,68886,119830,123407,4689,128096
13,2022,76857,72231,134243,132656,2988,135644
14,2023,71046,68062,112212,118948,4309,123257
